id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
216,14124,1664927594000,1664927598575,1664927605971,2,2,2,11110
215,14123,1664927557913,1664927572453,1664927584763,2,2,2,11110
214,14122,1664927512414,1664927516983,1664927523072,2,2,2,11110
213,14121,1664927477879,1664927495146,1664927504022,2,2,2,11110
212,14120,1664927427453,1664927440404,1664927459425,1,1,1,11110
211,14119,1664927373047,1664927391664,1664927409355,2,1,2,11110
210,14118,1664927336824,1664927341397,1664927346887,2,2,2,11110
209,14117,1664927287710,1664927318026,1664927329204,2,2,2,11110
208,14116,1664927231776,1664927265070,1664927273559,1,1,1,11110
207,14115,1664927206697,1664927211270,1664927218254,1,1,1,11110
206,14114,1664927179647,1664927190788,1664927198787,1,1,1,11110
205,14113,1664927140329,1664927152338,1664927164144,1,2,2,11110
204,14112,1664927090106,1664927101963,1664927121075,0,1,2,11110
203,14111,1664927058505,1664927063076,1664927068664,2,2,1,11110
202,14110,1664927019753,1664927036050,1664927052635,1,1,1,11110
201,14109,1664926976374,1664926991048,1664927002004,2,2,2,11110
200,14108,1664926915477,1664926928948,1664926946874,2,1,2,11110
199,14107,1664926870699,1664926875276,1664926891587,2,2,2,11110
198,14106,1664926836069,1664926851976,1664926862271,1,1,1,11110
197,14105,1664926802508,1664926807095,1664926812545,2,2,1,11110
196,14104,1664926761406,1664926772212,1664926795704,2,2,1,11110
195,14103,1664926706364,1664926710215,1664926736771,1,1,0,11110
194,14102,1664926649145,1664926660281,1664926680704,0,0,1,11110
193,14101,1664926604280,1664926620020,1664926634337,1,2,1,11110
192,14100,1664926564707,1664926572959,1664926591347,2,1,2,11110
191,14099,1664926525095,1664926533781,1664926546245,2,2,1,11110
190,14098,1664926486147,1664926492837,1664926505918,2,1,2,11110
189,14097,1664926426572,1664926439792,1664926465420,2,2,2,11110
188,14096,1664926357312,1664926378543,1664926410122,1,2,2,11110
187,14095,1664926329989,1664926335614,1664926342007,1,1,0,11110
186,14094,1664926284766,1664926298844,1664926323098,1,1,0,11110
185,14093,1664926246175,1664926258593,1664926268570,1,1,1,11110
184,14092,1664926181153,1664926199883,1664926234427,1,1,1,11110
183,14091,1664926140704,1664926147841,1664926163248,1,1,0,11110
261,14173,1664931374377,1664931388858,1664931395193,1,2,2,11115
260,14172,1664931326567,1664931338667,1664931347867,1,1,1,11115
259,14171,1664931282661,1664931290249,1664931299368,1,1,1,11115
258,14170,1664931241213,1664931259553,1664931265014,1,2,2,11115
257,14169,1664931198071,1664931209525,1664931218688,2,2,2,11115
256,14168,1664931166229,1664931170801,1664931176018,1,1,1,11115
255,14167,1664931132995,1664931148192,1664931154305,2,2,2,11115
254,14166,1664931076336,1664931092729,1664931102529,2,2,2,11115
253,14165,1664931031578,1664931045964,1664931051844,2,2,2,11115
252,14164,1664930981052,1664930997968,1664931004918,2,2,2,11115
251,14163,1664930933296,1664930948529,1664930954250,2,2,2,11115
250,14162,1664930876279,1664930890354,1664930904506,2,2,2,11115
249,14161,1664930834044,1664930845175,1664930856869,1,1,2,11115
248,14160,1664930791529,1664930802663,1664930813795,0,0,0,11115
247,14159,1664930756559,1664930767596,1664930774706,1,2,1,11115
246,14158,1664930714692,1664930725831,1664930734492,0,1,1,11115
245,14157,1664930665431,1664930684857,1664930699342,1,2,2,11115
244,14156,1664930628782,1664930635234,1664930643930,0,0,0,11115
243,14155,1664930587398,1664930598531,1664930609679,1,0,1,11115
242,14154,1664930543897,1664930561441,1664930573159,2,2,2,11115
241,14153,1664930485027,1664930503241,1664930525693,2,2,2,11115
240,14152,1664930433772,1664930454287,1664930464182,2,2,2,11115
239,14151,1664930372118,1664930382837,1664930404776,1,1,2,11115
238,14150,1664930335177,1664930341791,1664930356691,0,0,0,11115
237,14149,1664930284326,1664930299975,1664930320700,0,0,1,11115
236,14148,1664930226059,1664930253524,1664930260241,0,1,1,11115
235,14147,1664930185580,1664930194066,1664930202919,0,1,0,11115
234,14146,1664930155123,1664930136828,1664930175666,0,0,0,11115
233,14146,1664930123144,1664930136828,1664930143108,0,1,1,11115
232,14144,1664930085644,1664930090217,1664930098525,1,1,1,11115
231,14141,1664929994099,1664930012241,1664930030234,2,2,2,11115
230,14140,1664929955210,1664929959784,1664929967979,1,1,1,11115
229,14139,1664929924462,1664929929033,1664929939740,1,1,1,11115
228,14138,1664929884991,1664929898997,1664929916192,2,2,2,11115
227,14137,1664929822431,1664929838341,1664929866201,2,2,2,11115
225,14136,1664929692282,1664929705949,1664929723550,2,1,2,11115
226,14136,1664929737276,1664929760625,1664929802722,0,0,1,11115
224,14135,1664929659123,1664929664613,1664929671091,0,0,0,11115
300,14213,1664934431684,1664934436257,1664934442589,1,1,1,11120
299,14212,1664934407168,1664934411739,1664934417924,1,1,1,11120
298,14211,1664934377483,1664934387113,1664934397406,1,1,1,11120
297,14210,1664934332401,1664934343684,1664934350153,0,0,0,11120
296,14209,1664934288122,1664934295668,1664934308763,1,1,1,11120
295,14208,1664934207885,1664934222634,1664934260456,0,1,1,11120
294,14207,1664934148726,1664934156429,1664934175580,1,1,1,11120
293,14206,1664934091876,1664934108571,1664934124701,0,2,0,11120
292,14205,1664934049651,1664934054222,1664934060113,0,0,0,11120
291,14204,1664934016751,1664934032801,1664934040825,0,0,2,11120
290,14203,1664933961741,1664933985639,1664933992196,0,2,2,11120
289,14202,1664933898450,1664933913017,1664933941270,0,0,2,11120
288,14201,1664933846102,1664933861268,1664933872601,0,1,1,11120
287,14200,1664933796967,1664933801562,1664933809729,0,0,0,11120
286,14199,1664933741035,1664933756539,1664933786407,1,2,1,11120
285,14198,1664933701306,1664933705883,1664933717790,0,0,0,11120
284,14197,1664933674782,1664933679353,1664933685379,0,0,0,11120
283,14196,1664933640783,1664933655328,1664933666178,0,1,0,11120
